Year,ID,SL,nilo_percentage,Average_scaledist,Average_diameter,Species,fitness
2019,RUTS1.2,46.8,0.005,61.62925,1652.252667,KOR,3.73001365
2019,RUTS1.4,46.4,0.006,64.29158333,1591.393333,KOR,4.039955553
2019,RUTS1.8,48.2,0.991,60.482,1656.124667,NILO,3.652019755
2019,RUTS2.1,46.3,0.995,83.98666667,1636.126,NILO,5.133263983
2019,RUTS2.10,49.5,0.986,78.28491667,1640.777667,NILO,4.771208084
2019,RUTS2.11,53.1,0.995,58.35333333,1839.346333,NILO,3.172503855
2019,RUTS2.13,47.4,0.996,86.68325,1581.800333,NILO,5.480037409
2019,RUTS2.17,42.9,0.995,55.55483333,1395.929667,NILO,3.979773097
2019,RUTS2.18,50.9,0.599,74.99891667,1881.955667,HYB,3.985158524
2019,RUTS2.2,50.8,0.991,77.89025,1762.947333,NILO,4.418183602
2019,RUTS2.3,49.1,0.996,65.86491667,1569.94,NILO,4.195377955
2019,RUTS2.4,47.5,0.995,88.80641667,1538.508,NILO,5.772242762
2019,RUTS2.6,43,0.005,74.08716667,1838.088,KOR,4.030664836
2019,RUTS3.1,102.3,0.005,77.412125,4209.738333,KOR,1.838882108
2019,RUTS3.10,98.5,0.995,90.736,3783.550333,NILO,2.398170819
2019,RUTS3.18,73.9,0.995,71.34908333,2700.261667,NILO,2.642302567
2019,RUTS3.19,42.9,0.996,62.666,1453.186333,NILO,4.312316911
2019,RUTS3.23,48.2,0.99,62.96133333,1576.944333,NILO,3.9926161
2019,RUTS3.25,43.2,0.996,68.05766667,1434.383667,NILO,4.744732407
2019,RUTS3.26,46.6,0.164,72.15325,1739.461,HYB,4.148023439
2019,RUTS3.27,53.2,0.005,81.76475,1993.406667,KOR,4.101759634
2019,RUTS3.28,40,0.005,59.32675,1496.015,KOR,3.965652082
2019,RUTS3.29,44,0.005,65.31858333,1576.320667,KOR,4.14373704
2019,RUTS3.3,84.9,0.948,79.9515,3180.819333,NILO,2.513550492
2019,RUTS3.30,46.5,0.005,91.9705,1515.615333,KOR,6.068195404
2019,RUTS3.31,38.7,0.005,66.37533333,1298.025333,KOR,5.113562242
2019,RUTS3.32,45.7,0.005,60.84116667,1518.753333,KOR,4.005993951
2019,RUTS3.33,45.6,0.005,62.14416667,1601.872667,KOR,3.879469821
2019,RUTS3.34,36.8,0.005,62.09233333,1246.810333,KOR,4.98009454
2019,RUTS3.35,41.9,0.005,69.99916667,1485.106333,KOR,4.713411094
2019,RUTS3.36,35.3,0.005,60.93366667,1266.428667,KOR,4.811456679
2019,RUTS3.37,43.6,0.005,61.48691667,1498.676,KOR,4.102749138
2019,RUTS3.38,42,0.005,71.1115,1613.254,KOR,4.407954358
2019,RUTS3.41,42.2,0.005,69.365,1377.864,KOR,5.034241406
2019,RUTS3.42,45.5,0.005,75.746,1588.662,KOR,4.767911614
2019,RUTS3.43,46.8,0.059,64.58975,1587.718333,KOR,4.068086174
2019,RUTS3.45,37.7,0.005,69.14325,1304.494667,KOR,5.300385794
2019,RUTS3.46,47.4,0.005,86.83641667,1807.264333,KOR,4.804854224
2019,RUTS3.48,46.9,0.005,76.18158333,1708.735,KOR,4.458361497
2019,RUTS3.5,95.6,0.996,79.02858333,3483.487667,NILO,2.268662642
2019,RUTS3.50,43.1,0.079,79.01016667,1558.534667,KOR,5.069516152
2019,RUTS3.51,33.6,0.005,65.82475,1300.785333,KOR,5.060385316
2019,RUTS3.52,46.8,0.005,63.50633333,1628.967333,KOR,3.898563957
2019,RUTS3.53,46.1,0.005,64.12466667,1491.001667,KOR,4.300777665
2019,RUTS3.54,34.7,0.224,64.2875,1156.751333,HYB,5.557590309
2019,RUTS3.55,44.6,0.005,74.01566667,1449.407333,KOR,5.106615992
2019,RUTS3.56,50.1,0.005,72.15758333,1673.626667,KOR,4.311450383
2019,RUTS3.58,45.8,0.005,81.84516667,1731.907,KOR,4.725725265
2019,RUTS3.59,37.4,0.005,69.87175,1287.344,KOR,5.427589673
2019,RUTS3.60,44,0.005,63.68391667,1479.26,KOR,4.305119902
2019,RUTS3.8,107.3,0.995,94.3735,3701.844333,NILO,2.549364357
2019,RUTS3.9,106,0.991,80.84685714,4378.261,NILO,1.846551796
2019,RUTS4.10,57.7,0.991,62.3935,2058.9,NILO,3.03042887
2019,RUTS4.11,59.6,0.995,67.0315,1898.665667,NILO,3.530453053
2019,RUTS4.12,46.5,0.005,69.18783333,1405.456,KOR,4.922803228
2019,RUTS4.13,66,0.99,73.871,2202.101,NILO,3.354569114
2019,RUTS4.15,53.4,0.006,65.29625,1863.779667,KOR,3.503431826
2019,RUTS4.18,53.5,0.982,60.81575,1807.798333,NILO,3.36407822
2019,RUTS4.19,52.4,0.996,65.42833333,1766.076333,NILO,3.704728505
2019,RUTS4.2,52.5,0.995,66.87975,1823.540333,NILO,3.667577228
2019,RUTS4.4,55.1,0.995,71.70741667,1896.014333,NILO,3.782008153
2019,RUTS4.6,45.7,0.005,70.63558333,1772.173333,KOR,3.98581685
2019,RUTS4.7,49.4,0.995,45.0612,1646.668667,NILO,2.736506798
2019,RUTS4.8,52.6,0.991,66.90475,1738.015667,NILO,3.849490616
2019,RUTS4.9,52.4,0.987,55.05125,1789.906333,NILO,3.075649769
